processo,setor,ordem,data,chars,hit,trecho
000133/2022,GCPRO,46,05/02/2024,1337,True,"autos ao Gabinete do Exmo. Sr. Conselheiro Relator, sugerindo-se o encaminhamento dos autos à DAE para que verifique a possibilidade de proceder com os descontos em folha do montante devido pela parte executada, na forma do referido artigo”. Diante do exposto, encaminhem-se os autos à Diretoria de Atos e Execuções - DAE, para que verifique a possibilidade de proceder com os d"
002701/2022,GCPRO,53,02/07/2024,641,False,
002701/2022,GCPRO,54,02/07/2024,1224,False,
005310/2017,GCREN,80,20/10/2025,605,False,
005310/2017,GCREN,82,10/11/2025,609,False,
005310/2017,GCREN,51,30/01/2020,1038,False,
005310/2017,GCREN,57,18/02/2020,971,False,
005310/2017,GCREN,62,17/09/2020,1886,False,
005310/2017,GCREN,67,01/04/2022,742,True,"OFERIDA NOS AUTOS DO PROCESSO Nº 2261/2008-TC CONSELHEIRO RELATOR: RENATO COSTA DIAS DESPACHO Natal – RN, 01/04/2022 Observa-se nos autos pend ência na comprovação de repasse do desconto em folha no contracheque do Sr. Zenildo Batista de Sousa, conforme depreende-se do Despacho (Evento 51) da DAE, razão pela qual, antes do prosseguimento do feito executório, entendo oportuno o encaminhamento do f eito à Diretoria de Administração Geral –"
003078/2022,GCCTH,56,03/07/2023,1890,True,"son Costa Fernandes Processo nº 003078/2022–TC DESPACHO No processo à epígrafe, o órgão com a qual a parte executada mantém vínculo empregatício público ainda não foi instado a proceder ao desconto da dívida exequenda na remuneração do devedor, nos termos do que previsto n o art. 108, I, da LCE nº 464/2012. Ocorre que, nos autos da Ação Direta de Inconstitucionalidade nº 0808846 -43.2020.8.20.0000, o Plenário do Tribunal de Justiça do Estado do Ri"
