processo,setor,ordem,data,resumo,desc_folha
001487/2025,CCD,1,13/05/2025,Capa,False
001487/2025,CCD,2,26/11/2019,Evento do Processo Original,False
001487/2025,CCD,3,28/11/2019,Evento do Processo Original,False
001487/2025,CCD,4,28/11/2019,Evento do Processo Original,False
001487/2025,CCD,5,28/11/2019,Evento do Processo Original,False
001487/2025,CCD,6,03/12/2019,Evento do Processo Original,False
001487/2025,CCD,7,03/12/2019,Evento do Processo Original,False
001487/2025,CCD,8,05/12/2019,Evento do Processo Original,False
001487/2025,CCD,9,05/12/2019,Evento do Processo Original,False
001487/2025,CCD,10,05/12/2019,Evento do Processo Original,False
001487/2025,CCD,11,05/12/2019,Evento do Processo Original,False
001487/2025,CCD,12,05/12/2019,Evento do Processo Original,False
001487/2025,CCD,13,06/12/2019,Evento do Processo Original,False
001487/2025,CCD,14,06/12/2019,Evento do Processo Original,False
001487/2025,CCD,15,06/12/2019,Evento do Processo Original,False
001487/2025,CCD,16,06/12/2019,Evento do Processo Original,False
001487/2025,CCD,17,06/12/2019,Evento do Processo Original,False
001487/2025,CCD,18,06/12/2019,Evento do Processo Original,False
001487/2025,CCD,19,09/12/2019,Evento do Processo Original,False
001487/2025,CCD,20,09/12/2019,Evento do Processo Original,False
001487/2025,CCD,21,12/12/2019,Evento do Processo Original,False
001487/2025,CCD,22,17/12/2019,Evento do Processo Original,False
001487/2025,CCD,23,07/01/2020,Evento do Processo Original,False
001487/2025,CCD,24,09/01/2020,Evento do Processo Original,False
001487/2025,CCD,25,09/01/2020,Evento do Processo Original,False
001487/2025,CCD,26,09/01/2020,Evento do Processo Original,False
001487/2025,CCD,27,13/01/2020,Evento do Processo Original,False
001487/2025,CCD,28,14/01/2020,Evento do Processo Original,False
001487/2025,CCD,29,14/01/2020,Evento do Processo Original,False
001487/2025,CCD,30,17/01/2020,Evento do Processo Original,False
001487/2025,CCD,31,21/01/2020,Evento do Processo Original,False
001487/2025,CCD,32,21/01/2020,Evento do Processo Original,False
001487/2025,CCD,33,21/01/2020,Evento do Processo Original,False
001487/2025,CCD,34,24/01/2020,Evento do Processo Original,False
001487/2025,CCD,35,24/01/2020,Evento do Processo Original,False
001487/2025,CCD,36,24/01/2020,Evento do Processo Original,False
001487/2025,CCD,37,28/01/2020,Evento do Processo Original,False
001487/2025,CCD,38,28/01/2020,Evento do Processo Original,False
001487/2025,CCD,39,28/01/2020,Evento do Processo Original,False
001487/2025,CCD,40,28/01/2020,Evento do Processo Original,False
001487/2025,CCD,41,28/01/2020,Evento do Processo Original,False
001487/2025,CCD,42,28/01/2020,Evento do Processo Original,False
001487/2025,CCD,43,30/01/2020,Evento do Processo Original,False
001487/2025,CCD,44,31/01/2020,Evento do Processo Original,False
001487/2025,CCD,45,31/01/2020,Evento do Processo Original,False
001487/2025,CCD,46,03/02/2020,Evento do Processo Original,False
001487/2025,CCD,47,10/02/2020,Evento do Processo Original,False
001487/2025,CCD,48,12/02/2020,Evento do Processo Original,False
001487/2025,CCD,49,14/02/2020,Evento do Processo Original,False
001487/2025,CCD,50,17/02/2020,Evento do Processo Original,False
001487/2025,CCD,51,17/02/2020,Evento do Processo Original,False
001487/2025,CCD,52,19/02/2020,Evento do Processo Original,False
001487/2025,CCD,53,20/02/2020,Evento do Processo Original,False
001487/2025,CCD,54,20/02/2020,Evento do Processo Original,False
001487/2025,CCD,55,28/02/2020,Evento do Processo Original,False
001487/2025,CCD,56,28/02/2020,Evento do Processo Original,False
001487/2025,CCD,57,28/02/2020,Evento do Processo Original,False
001487/2025,CCD,58,28/02/2020,Evento do Processo Original,False
001487/2025,CCD,59,03/03/2020,Evento do Processo Original,False
001487/2025,CCD,60,24/03/2020,Evento do Processo Original,False
001487/2025,CCD,61,13/10/2020,Evento do Processo Original,False
001487/2025,CCD,62,13/10/2020,Evento do Processo Original,False
001487/2025,CCD,63,14/10/2020,Evento do Processo Original,False
001487/2025,CCD,64,19/10/2020,Evento do Processo Original,False
001487/2025,CCD,65,19/10/2020,Evento do Processo Original,False
001487/2025,CCD,66,19/10/2020,Evento do Processo Original,False
001487/2025,CCD,67,22/10/2020,Evento do Processo Original,False
001487/2025,CCD,68,12/11/2020,Evento do Processo Original,False
001487/2025,CCD,69,22/01/2021,Evento do Processo Original,False
001487/2025,CCD,70,01/02/2021,Evento do Processo Original,False
001487/2025,CCD,71,01/02/2021,Evento do Processo Original,False
001487/2025,CCD,72,01/02/2021,Evento do Processo Original,False
001487/2025,CCD,73,01/02/2021,Evento do Processo Original,False
001487/2025,CCD,74,03/02/2021,Evento do Processo Original,False
001487/2025,CCD,75,04/02/2021,Evento do Processo Original,False
001487/2025,CCD,76,24/02/2021,Evento do Processo Original,False
001487/2025,CCD,77,24/02/2021,Evento do Processo Original,False
001487/2025,CCD,78,24/02/2021,Evento do Processo Original,False
001487/2025,CCD,79,24/02/2021,Evento do Processo Original,False
001487/2025,CCD,80,24/02/2021,Evento do Processo Original,False
001487/2025,CCD,81,24/02/2021,Evento do Processo Original,False
001487/2025,CCD,82,24/02/2021,Evento do Processo Original,False
001487/2025,CCD,83,25/02/2021,Evento do Processo Original,False
001487/2025,CCD,84,18/05/2023,Evento do Processo Original,False
001487/2025,CCD,85,04/07/2023,Evento do Processo Original,False
001487/2025,CCD,86,02/08/2023,Evento do Processo Original,False
001487/2025,CCD,87,09/08/2023,Evento do Processo Original,False
001487/2025,CCD,88,09/08/2023,Evento do Processo Original,False
001487/2025,CCD,89,09/08/2023,Evento do Processo Original,False
001487/2025,CCD,90,23/08/2023,Evento do Processo Original,False
001487/2025,CCD,91,10/01/2025,Evento do Processo Original,False
001487/2025,CCD,92,15/01/2025,Evento do Processo Original,False
001487/2025,CCD,93,10/02/2025,Evento do Processo Original,False
001487/2025,CCD,94,11/03/2025,Evento do Processo Original,False
001487/2025,CCD,95,11/03/2025,Evento do Processo Original,False
001487/2025,CCD,96,11/03/2025,Evento do Processo Original,False
001487/2025,CCD,97,11/03/2025,Evento do Processo Original,False
001487/2025,CCD,98,11/03/2025,Evento do Processo Original,False
001487/2025,CCD,99,25/03/2025,Evento do Processo Original,False
001487/2025,CCD,100,02/04/2025,Evento do Processo Original,False
001487/2025,CCD,101,08/04/2025,Evento do Processo Original,False
001487/2025,CCD,102,08/04/2025,Evento do Processo Original,False
001487/2025,CCD,103,13/05/2025,Certidão de Inscrição no Cadastro Informativo de Créditos não Quitados,False
001487/2025,CCD,104,13/05/2025,Certidão de Inscrição no Cadastro Informativo de Créditos não Quitados,False
005310/2017,DAE_EXP,35,05/09/2018,Termo de Apensamento,False
005310/2017,DAE_EXP,37,05/12/2018,Termo de Apensamento,False
005310/2017,DAE_EXP,38,25/01/2019,Termo de Apensamento,False
005310/2017,DAE_EXP,39,28/01/2019,Baixa de Dívida,False
005310/2017,DAE_EXP,40,28/01/2019,Baixa de Dívida,False
005310/2017,DAE_EXP,41,28/01/2019,Baixa de Dívida,False
005310/2017,DAE_EXP,42,28/01/2019,Baixa de Dívida,False
005310/2017,DAE_EXP,43,28/01/2019,Baixa de Dívida,False
005310/2017,DAE_EXP,44,28/01/2019,Baixa de Dívida,False
005310/2017,DAE_EXP,45,28/01/2019,Baixa de Dívida,False
005310/2017,DAE_EXP,46,07/02/2019,Termo de Apensamento,False
005310/2017,DAE_EXP,47,11/03/2019,Termo de Apensamento,False
005310/2017,DAE_EXP,48,11/04/2019,Termo de Apensamento,False
005310/2017,DAE_EXP,9,17/05/2017,Informação de Retorno do AR,False
005310/2017,DAE_EXP,10,17/05/2017,Informação de Retorno do AR,False
000133/2022,DAE_SEI,2,24/01/2017,Evento do Processo Original,False
000133/2022,DAE_SEI,3,30/09/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,4,07/10/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,5,09/10/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,6,14/10/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,7,14/10/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,8,31/10/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,9,04/11/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,10,04/11/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,11,04/11/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,12,04/11/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,13,12/11/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,14,25/11/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,15,11/12/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,16,11/12/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,17,11/12/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,18,11/12/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,19,11/12/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,20,17/12/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,21,19/12/2019,Evento do Processo Original,False
000133/2022,DAE_SEI,22,13/01/2020,Evento do Processo Original,False
000133/2022,DAE_SEI,23,14/01/2020,Evento do Processo Original,False
000133/2022,DAE_SEI,24,14/01/2020,Evento do Processo Original,False
000133/2022,DAE_SEI,25,16/01/2020,Evento do Processo Original,False
000133/2022,DAE_SEI,26,13/07/2021,Evento do Processo Original,False
000133/2022,DAE_SEI,27,14/07/2021,Evento do Processo Original,False
000133/2022,DAE_SEI,28,15/07/2021,Evento do Processo Original,False
000133/2022,DAE_SEI,29,27/07/2021,Evento do Processo Original,False
000133/2022,DAE_SEI,30,11/08/2021,Evento do Processo Original,False
000133/2022,DAE_SEI,31,12/01/2022,Evento do Processo Original,False
000133/2022,DAE_SEI,32,12/01/2022,Evento do Processo Original,False
000133/2022,DAE_SEI,33,13/01/2022,Evento do Processo Original,False
000133/2022,DAE_SEI,34,13/01/2022,Evento do Processo Original,False
000133/2022,DAE_SEI,35,15/01/2022,Evento do Processo Original,False
000133/2022,DAE_SEI,36,11/02/2022,Evento do Processo Original,False
000133/2022,DAE_SEI,37,24/03/2022,Evento do Processo Original,False
000133/2022,DAE_SEI,38,24/03/2022,Evento do Processo Original,False
000133/2022,DAE_SEI,39,28/03/2022,Evento do Processo Original,False
000133/2022,DAE_SEI,40,08/04/2022,Certidão de Inscrição no Cadastro Informativo de Créditos não Quitados,False
000134/2022,DAE_SEI,2,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,3,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,4,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,5,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,6,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,7,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,8,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,9,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,10,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,11,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,12,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,13,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,14,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,15,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,16,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,17,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,18,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,19,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,20,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,21,24/07/2018,Evento do Processo Original,False
000134/2022,DAE_SEI,22,08/10/2019,Evento do Processo Original,False
000134/2022,DAE_SEI,23,09/10/2019,Evento do Processo Original,False
000134/2022,DAE_SEI,24,19/10/2020,Evento do Processo Original,False
000134/2022,DAE_SEI,25,19/10/2020,Evento do Processo Original,False
002564/2024,CCD,56,02/10/2025,Suspensão do Débito...................................................,False
003380/2024,CCD,69,02/10/2025,Suspensão do Débito...................................................,False
005310/2017,CCD,79,15/10/2025,Deliberação do Relator.,False
005310/2017,DAE_EXP,49,27/06/2019,Baixa de Dívida,False
000101/2022,DAE_SEI,2,16/01/2018,Evento do Processo Original,False
000101/2022,DAE_SEI,3,26/09/2019,Evento do Processo Original,False
000101/2022,DAE_SEI,4,27/09/2019,Evento do Processo Original,False
000101/2022,DAE_SEI,5,13/10/2020,Evento do Processo Original,False
000101/2022,DAE_SEI,6,13/10/2020,Evento do Processo Original,False
000101/2022,DAE_SEI,7,26/10/2020,Evento do Processo Original,False
000101/2022,DAE_SEI,8,28/10/2020,Evento do Processo Original,False
000101/2022,DAE_SEI,9,11/11/2020,Evento do Processo Original,False
000101/2022,DAE_SEI,10,11/11/2020,Evento do Processo Original,False
000101/2022,DAE_SEI,11,11/11/2020,Evento do Processo Original,False
000101/2022,DAE_SEI,12,27/11/2020,Evento do Processo Original,False
000101/2022,DAE_SEI,13,02/12/2020,Evento do Processo Original,False
000101/2022,DAE_SEI,14,07/12/2020,Evento do Processo Original,False
000101/2022,DAE_SEI,15,28/01/2021,Evento do Processo Original,False
000101/2022,DAE_SEI,16,29/01/2021,Evento do Processo Original,False
000101/2022,DAE_SEI,17,12/03/2021,Evento do Processo Original,False
000101/2022,DAE_SEI,18,12/03/2021,Evento do Processo Original,False
000101/2022,DAE_SEI,19,12/03/2021,Evento do Processo Original,False
000101/2022,DAE_SEI,20,12/03/2021,Evento do Processo Original,False
000101/2022,DAE_SEI,21,12/03/2021,Evento do Processo Original,False
000101/2022,DAE_SEI,22,16/03/2021,Evento do Processo Original,False
000101/2022,DAE_SEI,23,19/04/2021,Evento do Processo Original,False
000101/2022,DAE_SEI,24,15/06/2021,Evento do Processo Original,False
000101/2022,DAE_SEI,25,15/06/2021,Evento do Processo Original,False
